"study_id","site_id","core_id","method_id","depth_min","depth_max","sample_id","dry_bulk_density","fraction_organic_matter"
"Engelbrecht_et_al_2025","Olifants Estuary Upper","UPR_SUB-T1-D5_1","single set of methods",0,16.5,"UPR_SUB-T1-D5_16,5",0.741,0.0078000000000000005
"Engelbrecht_et_al_2025","Olifants Estuary Upper","UPR_SUB-T1-D3_1","single set of methods",0,30,"UPR_SUB-T1-D3_30",0.789,0.0059
"Engelbrecht_et_al_2025","Olifants Estuary Upper","UPR_SUB-T1-D1_1","single set of methods",0,23.5,"UPR_SUB-T1-D1_23,5",0.838,0.0058
"Engelbrecht_et_al_2025","Olifants Estuary Upper","UPR_SUB-T1-D0.5_1","single set of methods",0,29,"UPR_SUB-T1-D0.5_29",0.76,0.0069
"Engelbrecht_et_al_2025","Olifants Estuary Upper","UPR_SUB-T2-D5_1","single set of methods",0,19.7,"UPR_SUB-T2-D5_19,7",0.763,0.0073
"Engelbrecht_et_al_2025","Olifants Estuary Upper","UPR_SUB-T2-D3_1","single set of methods",0,29,"UPR_SUB-T2-D3_29",0.887,0.0073
"Engelbrecht_et_al_2025","Olifants Estuary Upper","UPR_SUB-T2-D1_1","single set of methods",0,21,"UPR_SUB-T2-D1_21",0.928,0.0060999999999999995
"Engelbrecht_et_al_2025","Olifants Estuary Upper","UPR_SUB-T2-D0.5_1","single set of methods",0,20.1,"UPR_SUB-T2-D0.5_20,1",0.841,0.006500000000000001
"Engelbrecht_et_al_2025","Olifants Estuary Upper","UPR_SUB-T3-D5_1","single set of methods",0,32,"UPR_SUB-T3-D5_32",0.818,0.0078000000000000005
"Engelbrecht_et_al_2025","Olifants Estuary Upper","UPR_SUB-T3-D3_1","single set of methods",0,32.7,"UPR_SUB-T3-D3_32,7",0.803,0.0076
"Engelbrecht_et_al_2025","Olifants Estuary Upper","UPR_SUB-T3-D1_1","single set of methods",0,32,"UPR_SUB-T3-D1_32",0.849,0.0088
"Engelbrecht_et_al_2025","Olifants Estuary Upper","UPR_SUB-T3-D0.5_1","single set of methods",0,28,"UPR_SUB-T3-D0.5_28",0.832,0.0076
"Engelbrecht_et_al_2025","Olifants Estuary Middle","MID_SUB-T1-D5_1","single set of methods",0,19.4,"MID_SUB-T1-D5_19,4",1.321,0.0052
"Engelbrecht_et_al_2025","Olifants Estuary Middle","MID_SUB-T1-D3_1","single set of methods",0,32.5,"MID_SUB-T1-D3_32,5",1.384,0.006999999999999999
"Engelbrecht_et_al_2025","Olifants Estuary Middle","MID_SUB-T1-D1_1","single set of methods",0,31,"MID_SUB-T1-D1_31",1.387,0.0068000000000000005
"Engelbrecht_et_al_2025","Olifants Estuary Middle","MID_SUB-T1-D0.5_1","single set of methods",0,29,"MID_SUB-T1-D0.5_29",1.459,0.005699999999999999
"Engelbrecht_et_al_2025","Olifants Estuary Middle","MID_SUB-T2-D5_1","single set of methods",0,28,"MID_SUB-T2-D5_28",1.347,0.0031
"Engelbrecht_et_al_2025","Olifants Estuary Middle","MID_SUB-T2-D3_1","single set of methods",0,22.1,"MID_SUB-T2-D3_22,1",1.284,0.0054
"Engelbrecht_et_al_2025","Olifants Estuary Middle","MID_SUB-T2-D1_1","single set of methods",0,20,"MID_SUB-T2-D1_20",1.362,0.0044
"Engelbrecht_et_al_2025","Olifants Estuary Middle","MID_SUB-T2-D0.5_1","single set of methods",0,24.7,"MID_SUB-T2-D0.5_24,7",1.347,0.0069
"Engelbrecht_et_al_2025","Olifants Estuary Middle","MID_SUB-T3-D5_1","single set of methods",0,21,"MID_SUB-T3-D5_21",1.327,0.0058
"Engelbrecht_et_al_2025","Olifants Estuary Middle","MID_SUB-T3-D3_1","single set of methods",0,35,"MID_SUB-T3-D3_35",1.225,0.0038
"Engelbrecht_et_al_2025","Olifants Estuary Middle","MID_SUB-T3-D1_1","single set of methods",0,22.6,"MID_SUB-T3-D1_22,6",1.29,0.0044
"Engelbrecht_et_al_2025","Olifants Estuary Middle","MID_SUB-T3-D0.5_1","single set of methods",0,24,"MID_SUB-T3-D0.5_24",1.295,0.0025
"Engelbrecht_et_al_2025","Olifants Estuary Lower","LWR_SUB-T1-D5_1","single set of methods",0,25.5,"LWR_SUB-T1-D5_25,5",1.314,0.0045000000000000005
"Engelbrecht_et_al_2025","Olifants Estuary Lower","LWR_SUB-T1-D3_1","single set of methods",0,31,"LWR_SUB-T1-D3_31",1.297,0.0042
"Engelbrecht_et_al_2025","Olifants Estuary Lower","LWR_SUB-T1-D1_1","single set of methods",0,31,"LWR_SUB-T1-D1_31",1.282,0.0044
"Engelbrecht_et_al_2025","Olifants Estuary Lower","LWR_SUB-T1-D0.5_1","single set of methods",0,27.8,"LWR_SUB-T1-D0.5_27,8",1.287,0.0034000000000000002
"Engelbrecht_et_al_2025","Olifants Estuary Lower","LWR_SUB-T2-D5_1","single set of methods",0,24,"LWR_SUB-T2-D5_24",1.29,0.0029
"Engelbrecht_et_al_2025","Olifants Estuary Lower","LWR_SUB-T2-D3_1","single set of methods",0,26.4,"LWR_SUB-T2-D3_26,4",1.329,0.0033
"Engelbrecht_et_al_2025","Olifants Estuary Lower","LWR_SUB-T2-D1_1","single set of methods",0,28,"LWR_SUB-T2-D1_28",1.423,0.0026
"Engelbrecht_et_al_2025","Olifants Estuary Lower","LWR_SUB-T2-D0.5_1","single set of methods",0,30.7,"LWR_SUB-T2-D0.5_30,7",1.398,0.0027
"Engelbrecht_et_al_2025","Olifants Estuary Lower","LWR_SUB-T3-D5_1","single set of methods",0,32,"LWR_SUB-T3-D5_32",1.105,0.0096
"Engelbrecht_et_al_2025","Olifants Estuary Lower","LWR_SUB-T3-D3_1","single set of methods",0,32.7,"LWR_SUB-T3-D3_32,7",1.207,0.0066
"Engelbrecht_et_al_2025","Olifants Estuary Lower","LWR_SUB-T3-D1_1","single set of methods",0,32,"LWR_SUB-T3-D1_32",1.296,0.005
"Engelbrecht_et_al_2025","Olifants Estuary Lower","LWR_SUB-T3-D0.5_1","single set of methods",0,28,"LWR_SUB-T3-D0.5_28",1.3,0.0043
"Engelbrecht_et_al_2025","Olifants Estuary Upper","UPR_SUB-T1-D5_2","single set of methods",0,50,"UPR_SUB-T1-D5_50",2.928,0.0064
"Engelbrecht_et_al_2025","Olifants Estuary Upper","UPR_SUB-T1-D3_2","single set of methods",0,35,"UPR_SUB-T1-D3_35",2.997,0.0068000000000000005
"Engelbrecht_et_al_2025","Olifants Estuary Upper","UPR_SUB-T1-D1_2","single set of methods",0,39,"UPR_SUB-T1-D1_39",2.977,0.0060999999999999995
"Engelbrecht_et_al_2025","Olifants Estuary Upper","UPR_SUB-T1-D0.5_2","single set of methods",0,50,"UPR_SUB-T1-D0.5_50",3.28,0.0069
"Engelbrecht_et_al_2025","Olifants Estuary Upper","UPR_SUB-T2-D5_2","single set of methods",0,36,"UPR_SUB-T2-D5_36",3.096,0.0075
"Engelbrecht_et_al_2025","Olifants Estuary Upper","UPR_SUB-T2-D3_2","single set of methods",0,40,"UPR_SUB-T2-D3_40",3.134,0.0067
"Engelbrecht_et_al_2025","Olifants Estuary Upper","UPR_SUB-T2-D1_2","single set of methods",0,40,"UPR_SUB-T2-D1_40",3.059,0.0069
"Engelbrecht_et_al_2025","Olifants Estuary Upper","UPR_SUB-T2-D0.5_2","single set of methods",0,35,"UPR_SUB-T2-D0.5_35",3.111,0.0069
"Engelbrecht_et_al_2025","Olifants Estuary Upper","UPR_SUB-T3-D5_2","single set of methods",0,34,"UPR_SUB-T3-D5_34",3.108,0.0055000000000000005
"Engelbrecht_et_al_2025","Olifants Estuary Upper","UPR_SUB-T3-D3_2","single set of methods",0,37,"UPR_SUB-T3-D3_37",2.836,0.0058
"Engelbrecht_et_al_2025","Olifants Estuary Upper","UPR_SUB-T3-D1_2","single set of methods",0,38,"UPR_SUB-T3-D1_38",3.193,0.0079
"Engelbrecht_et_al_2025","Olifants Estuary Upper","UPR_SUB-T3-D0.5_2","single set of methods",0,42,"UPR_SUB-T3-D0.5_42",3.032,0.0063
