"study_id","site_id","biomass_core_id","Species","Shoot_count","ABG_Tare_weight","ABG_Tare_and_Sample_dry_weight","ABG_biomass","BLG_Tare_weight","BLG_Tare_and_Sample_dry_weight","BLG_biomass","Shoots_m2","ABG_biomass_DW_m2","BLG_biomass_DW_m2","core_notes"
"Krause_et_al_2025_Cambodia","PD12","PD12-3","Halodule pinifolia","86","3.068","4.145","1.077","2.873","5.237","2.364","4866.6039454789","60.9457261544276","133.775020082699",NA
"Krause_et_al_2025_Cambodia","PD12","PD12-1","Halodule pinifolia","102","2.667","4.005","1.338","3.028","6.06","3.032","5772.01863300986","75.7153032447764","171.576083287116",NA
"Krause_et_al_2025_Cambodia","PD12","PD12-2","Halodule pinifolia","91","3.116","6.009","2.893","3.166","6.24","3.074","5149.54603533232","163.710293189191","173.952796841885",NA
"Krause_et_al_2025_Cambodia","PD19","PD19-A2","Halodule pinifolia","33","2.945","3.595","0.65","3.181","3.371","0.19","1867.4177930326","36.7824716809452","10.7517994144301",NA
"Krause_et_al_2025_Cambodia","PD19","PD19-A1","Halodule pinifolia","97","3.07","3.427","0.357","3.142","4.713","1.571","5489.07654315643","20.2020652155345","88.9004046319459",NA
"Krause_et_al_2025_Cambodia","PD19","PD19-A3","Halodule pinifolia","110","2.755","3.153","0.398","2.733","5.118","2.385","6224.72597677533","22.5221903523326","134.963376860083",NA
"Krause_et_al_2025_Cambodia","PD20","PD20-A2","Halodule pinifolia","150","2.858","3.43","0.572","2.984","5.824","2.84","8488.26269560273","32.3685750792317","160.711107036745",NA
"Krause_et_al_2025_Cambodia","PD20","PD20-A3","Halodule pinifolia","154","3.484","4.163","0.679","2.845","6.682","3.837","8714.61636748547","38.423535802095","217.129759753518",NA
"Krause_et_al_2025_Cambodia","PD20","PD20-A1","Halodule pinifolia","172","3.068","3.886","0.818","3.334","7.553","4.219","9733.2078909578","46.2893259000202","238.746535418319",NA
"Krause_et_al_2025_Cambodia","PD22","PD22-A","Halodule pinifolia","21","3.133","3.188","0.0550000000000002","3.173","3.332","0.159","1188.35677738438","3.11236298838768","8.99755845733888","Possibly incomplete shoot count"
"Krause_et_al_2025_Cambodia","PD22","PD22-B","Halodule pinifolia","64","3.071","3.555","0.484","2.895","5.372","2.477","3621.65875012383","27.3887942978115","140.169511313386",NA
"Krause_et_al_2025_Cambodia","PD22","PD22-C","Halodule pinifolia","99","2.997","3.68","0.683","2.815","6.12","3.305","5602.2533790978","38.6498894739778","187.024721393113",NA
"Krause_et_al_2025_Cambodia","PD23","PD23-A3","Halodule pinifolia","55","2.052","2.564","0.512","2.351","3.828","1.477","3112.36298838767","28.9732700009907","83.5810933427015",NA
"Krause_et_al_2025_Cambodia","PD23","PD23-A1","Halodule pinifolia",NA,"1.006","1.598","0.592","1.623","3.499","1.876","0","33.5003434386454","106.159872113005","No shoot count data"
"Krause_et_al_2025_Cambodia","PD23","PD23-A2","Halodule pinifolia","73","1.113","1.525","0.412","1.731","3.945","2.214","4130.95451186","23.3144282039222","125.286757387096",NA
"Krause_et_al_2025_Cambodia","PD24","PD24-A3","Halodule pinifolia","156","2.065","3.132","1.067","2.283","9.175","6.892","8827.79320342684","60.3798419747208","390.00737665396",NA
"Krause_et_al_2025_Cambodia","PD24","PD24-A2","Halodule pinifolia","148","3.665","4.644","0.979","3.803","10.875","7.072","8375.08585966136","55.4000611933005","400.193291888683",NA
"Krause_et_al_2025_Cambodia","PD24","PD24-A1","Halodule pinifolia","185","5.411","6.794","1.383","4.271","12.331","8.06","10468.8573245767","78.2617820534572","456.10264884372",NA
"Krause_et_al_2025_Cambodia","PD25","PD25-A3","Halodule pinifolia","53","2.209","2.517","0.308","2.493","3.581","1.088","2999.1861524463","17.4292327349709","61.5681987521051",NA
"Krause_et_al_2025_Cambodia","PD25","PD25-A2","Halodule pinifolia","37","1.134","1.364","1.51","1.429","2.644","1.215","2093.77146491534","85.4485111357342","68.7549278343821","Possibly incomplete shoot count"
"Krause_et_al_2025_Cambodia","PD25","PD25-A1","Halodule pinifolia","49","1.249","1.709","0.46","1.734","3.179","1.445","2772.83248056356","26.030672266515","81.7702639676396",NA
"Krause_et_al_2025_Cambodia","PD3","PD3-A2","Halodule pinifolia","222","2.37","2.941","0.571","2.995","6.663","3.668","12562.628789492","32.311986661261","207.566317116472",NA
"Krause_et_al_2025_Cambodia","PD3","PD3-A3","Halodule pinifolia","214","2.607","3.045","0.438","2.769","6.875","4.106","12109.9214457266","24.78572707116","232.352044187632",NA
"Krause_et_al_2025_Cambodia","PD3","PD3-A1","Halodule pinifolia","277","2.679","3.201","0.522","2.682","7.941","5.259","15674.9917778797","29.5391541806975","297.598490107832",NA
"Krause_et_al_2025_Cambodia","PS5","PS5-B","Halodule pinifolia","43","2.22","2.336","0.116","1.74","3.175","1.435","2433.30197273945","6.56425648459942","81.2043797879328",NA
"Krause_et_al_2025_Cambodia","PS5","PS5-A","Halodule pinifolia","107","2.716","3.24","0.524","2.92","4.632","1.712","6054.96072286328","29.6523310166389","96.8793715658125",NA
"Krause_et_al_2025_Cambodia","PS5","PS5-C","Halodule pinifolia","142","1.186","1.631","0.445","1.651","5.508","3.857","8035.55535183725","25.1818459969548","218.261528112932",NA
"Krause_et_al_2025_Cambodia","PD6","PD6-A1","Halodule pinifolia","212","1.672","2.955","1.283","1.848","8.631","6.783","11996.7446097852","72.6029402563887","383.839239095155","Combined for A and B"
"Krause_et_al_2025_Cambodia","PD6","PD6-A3","Halodule pinifolia","200","1.549","2.434","0.885","1.631","5.729","4.098","11317.683594137","50.0807499040561","231.899336843867",NA
"Krause_et_al_2025_Cambodia","PD6","PD6-A2","Halodule pinifolia","228","1.432","2.281","0.849","1.955","6.52","4.565","12902.1592973161","48.0435668571115","258.326128036176",NA
"Krause_et_al_2025_Cambodia","PD8","PD8-C","Halodule pinifolia","98","1.064","1.376","0.312","1.572","3.129","1.557","5545.66496112712","17.6555864068537","88.1081667803563",NA
"Krause_et_al_2025_Cambodia","PD8","PD8-A","Halodule pinifolia",NA,"1.25","1.527","0.277","1.33","2.917","1.587","0","15.6749917778797","89.8058193194769","No shoot count data"
"Krause_et_al_2025_Cambodia","PD8","PD8-B","Halodule pinifolia","148","2.842","3.598","0.756","2.539","5.213","2.674","8375.08585966136","42.7808439858377","151.317429653611",NA
"Krause_et_al_2025_Cambodia","PS1","PS1-A","Halodule pinifolia","113","4.402","5.058","0.656","3.648","5.858","2.21","6394.49123068739","37.1220021887693","125.060403715214",NA
"Krause_et_al_2025_Cambodia","PS1","PS1-B","Halodule pinifolia","138","3.906","4.396","0.49","2.713","4.933","2.22","7809.20167995451","27.7283248056356","125.62628789492",NA
"Krause_et_al_2025_Cambodia","PS1","PS1-C","Halodule pinifolia","151","3.976","4.456","0.48","3.84","6.794","2.954","8544.85111357342","27.1624406259288","167.162186685403",NA
"Krause_et_al_2025_Cambodia","PS10","PS10-A3","Halodule pinifolia","255","1.351","2.348","0.997","1.539","5.76","4.221","14430.0465825246","56.4186527167728","238.859712254261",NA
"Krause_et_al_2025_Cambodia","PS10","PS10-A1","Halodule pinifolia","198","1.64","2.263","0.623","2.197","8.283","6.086","11204.5067581956","35.2545843957367","344.397111769588",NA
"Krause_et_al_2025_Cambodia","PS10","PS10-A2","Halodule pinifolia","349","4.724","5.98","1.256","4.403","11.57","7.167","19749.357871769","71.0750529711802","405.569191595898",NA
"Krause_et_al_2025_Cambodia","PS11","PS11-A3","Halodule pinifolia","365","3.486","4.726","1.24","4.445","11.188","6.743","20654.7725593","70.1696382836492","381.575702376328",NA
"Krause_et_al_2025_Cambodia","PS11","PS11-A2","Halodule pinifolia","329","4.046","5.718","1.672","3.848","11.362","7.514","18617.5895123553","94.6158348469851","425.205372631726",NA
"Krause_et_al_2025_Cambodia","PS11","PS11-A1","Halodule pinifolia","165","2.566","3.213","0.647","2.696","6.192","3.496","9337.088965163","36.6127064270331","197.833109225514",NA
"Krause_et_al_2025_Cambodia","PS13","PS13-A1","Halodule pinifolia","129","3.587","4.058","0.471","2.94","7.524","4.584","7299.90591821835","26.6531448641926","259.401307977619",NA
"Krause_et_al_2025_Cambodia","PS13","PS13-A3","Halodule pinifolia","180","3.435","6.561","3.126","3.193","8.012","4.819","10185.9152347233","176.895394576361","272.69958620073",NA
"Krause_et_al_2025_Cambodia","PS13","PS13-A2","Halodule pinifolia","244","3.248","5.095","1.847","3.075","8.653","5.578","13807.5739848471","104.518807991855","315.65019544048",NA
"Krause_et_al_2025_Cambodia","PS14","PS14-A1","Halodule pinifolia","261","3.142","4.89","1.748","2.879","6.049","3.17","14769.5770903488","98.9165546127571","179.385284967071",NA
"Krause_et_al_2025_Cambodia","PS14","PS14-A3","Halodule pinifolia","212","3.163","4.249","1.086","3.468","9.398","5.93","11996.7446097852","61.4550219161638","335.569318566161",NA
"Krause_et_al_2025_Cambodia","PS14","PS14-A2","Halodule pinifolia","187","2.824","3.605","0.781","3.125","9.423","6.298","10582.0341605181","44.1955544351049","356.393856379373",NA
"Krause_et_al_2025_Cambodia","PS15","PS15-A2","Halodule pinifolia","89","3.135","3.262","0.127","3.355","4.75","1.395","5036.36919939095","7.18672908227699","78.9408430691054",NA
"Krause_et_al_2025_Cambodia","PS15","PS15-A","Halodule pinifolia","195","3.254","5.271","2.017","3.032","6.127","3.095","11034.7415042835","114.138839046871","175.14115361927",NA
"Krause_et_al_2025_Cambodia","PS15","PS15-A3","Halodule pinifolia","137","3.079","3.65","0.571","2.965","7.024","4.059","7752.61326198383","32.311986661261","229.69238854301",NA
"Krause_et_al_2025_Cambodia","PS16","PS16-A2","Halodule pinifolia","154","2.965","3.349","0.384","2.615","3.679","1.064","8714.61636748547","21.729952500743","60.2100767208087",NA
"Krause_et_al_2025_Cambodia","PS16","PS16-A3","Halodule pinifolia","146","3.428","3.866","0.438","3.404","5.497","2.093","8261.90902371999","24.78572707116","118.439558812643",NA
"Krause_et_al_2025_Cambodia","PS16","PS16-A1","Halodule pinifolia","143","3.039","4.068","1.029","2.79","5.515","2.725","8092.14376980794","58.2294820918347","154.203438970116",NA
"Krause_et_al_2025_Cambodia","PS17","PS17-C","Halodule pinifolia","46","3.247","3.481","0.234","3.052","4.785","1.733","2603.0672266515","13.2416898051403","98.0677283431969",NA
"Krause_et_al_2025_Cambodia","PS17","PS17-A","Halodule pinifolia","144","3.278","3.761","0.483","3.023","6.194","3.171","8148.73218777862","27.3322058798408","179.441873385042",NA
"Krause_et_al_2025_Cambodia","PS17","PS17-B","Halodule pinifolia","104","2.917","3.45","0.533","3.032","8.272","5.24","5885.19546895123","30.1616267783751","296.523310166389",NA
"Krause_et_al_2025_Cambodia","PS18","PS18-A3","Halodule pinifolia","57","3.158","3.236","0.0780000000000003","3.238","5.443","2.205","3225.53982432904","4.41389660171344","124.77746162536","Possibly incomplete shoot count"
"Krause_et_al_2025_Cambodia","PS18","PS18-A2","Halodule pinifolia","154","2.915","3.224","0.309","3.537","6.664","3.127","8714.61636748547","17.4858211529416","176.951982994332",NA
"Krause_et_al_2025_Cambodia","PS18","PS18-A1","Halodule pinifolia","152","3.077","3.576","0.499","2.78","9.385","6.605","8601.4395315441","28.2376205673718","373.766500696374",NA
"Krause_et_al_2025_Cambodia","PS2","PS2-C","Halodule pinifolia","153","1.567","2.917","1.35","1.64","2.631","0.991","8658.02794951478","76.3943642604246","56.0791222089487",NA
"Krause_et_al_2025_Cambodia","PS2","PS2-B","Halodule pinifolia","181","2.509","2.992","0.483","2.35","4.922","2.572","10242.503652694","27.3322058798408","145.545411020601",NA
"Krause_et_al_2025_Cambodia","PS2","PS2-A","Halodule pinifolia","171","3.108","3.518","0.41","3.828","6.95","3.122","9676.61947298711","23.2012513679808","176.669040904478",NA
"Krause_et_al_2025_Cambodia","PS21","PS21-B3","Halodule pinifolia","120","2.836","3.181","0.345","3.24","5.859","2.619","6790.61015648218","19.5230041998863","148.205066665224",NA
"Krause_et_al_2025_Cambodia","PS21","PS21-B1","Halodule pinifolia","145","2.728","3.056","0.328","3.044","5.877","2.833","8205.32060574931","18.5610010943846","160.31498811095",NA
"Krause_et_al_2025_Cambodia","PS21","PS21-B2","Halodule pinifolia","165","3.054","3.759","0.705","2.991","7.865","4.874","9337.088965163","39.8948346693328","275.811949189118",NA
"Krause_et_al_2025_Cambodia","PS4","PS4-A1","Halodule pinifolia","94","2.338","4.946","2.608","2.389","3.087","0.698","5319.31128924438","147.582594067546","39.4987157435381",NA
"Krause_et_al_2025_Cambodia","PS4","PS4-A2","Halodule pinifolia","161","2.369","2.903","0.534","4.077","7.198","3.121","9110.73529328026","30.2182151963457","176.612452486507",NA
"Krause_et_al_2025_Cambodia","PS4","PS4-A3","Halodule pinifolia","184","3.991","5.191","1.2","3.961","7.352","3.391","10412.268906606","67.9061015648218","191.891325338592",NA
"Krause_et_al_2025_Cambodia","PS7","PS7-A2","Halodule pinifolia","110","2.888","3.314","0.426","3.058","4.527","1.469","6224.72597677533","24.1066660555118","83.1283859989361",NA
"Krause_et_al_2025_Cambodia","PS7","PS7-A3","Halodule pinifolia","124","3.065","3.553","0.488","2.894","5.215","2.321","7016.96382836492","27.6151479696942","131.34171810996",NA
"Krause_et_al_2025_Cambodia","PS7","PS7-A1","Halodule pinifolia","117","3.205","3.763","0.558","2.724","6.374","3.65","6620.84490257013","31.5763372276421","206.547725593",NA
"Krause_et_al_2025_Cambodia","PS9","PS9-A2","Halodule pinifolia","189","1.082","1.535","0.453","1.366","3.611","2.245","10695.2109964594","25.6345533407202","127.040998344188",NA
"Krause_et_al_2025_Cambodia","PS9","PS9-A1","Halodule pinifolia","204","1.479","2.153","0.674","1.526","4.576","3.05","11544.0372660197","38.1405937122416","172.594674810589",NA
"Krause_et_al_2025_Cambodia","PS9","PS9-A3","Halodule pinifolia","191","2.773","3.163","0.39","2.687","9.333","6.646","10808.3878324008","22.0694830085671","376.086625833172",NA
