study_id,site_id,core_id,method_id,depth_min,depth_max,sample_id,dry_bulk_density,fraction_organic_matter
Ndhlovu_et_al_2024,Berg1,Berg1_C1,Ndhlovu_et_al_2024,0,5,Berg1_C15,1.54505,1.2e-4
Ndhlovu_et_al_2024,Berg1,Berg1_C1,Ndhlovu_et_al_2024,5,10,Berg1_C110,1.55717,1.5e-4
Ndhlovu_et_al_2024,Berg1,Berg1_C1,Ndhlovu_et_al_2024,10,20,Berg1_C120,1.53562,4e-4
Ndhlovu_et_al_2024,Berg1,Berg1_C1,Ndhlovu_et_al_2024,20,30,Berg1_C130,1.33982,0.00418
Ndhlovu_et_al_2024,Berg1,Berg1_C1,Ndhlovu_et_al_2024,30,50,Berg1_C150,0.8194,0.0111
Ndhlovu_et_al_2024,Berg1,Berg1_C2,Ndhlovu_et_al_2024,0,5,Berg1_C25,1.7076,0.00179
Ndhlovu_et_al_2024,Berg1,Berg1_C2,Ndhlovu_et_al_2024,5,10,Berg1_C210,1.2155,0.00349
Ndhlovu_et_al_2024,Berg1,Berg1_C2,Ndhlovu_et_al_2024,10,20,Berg1_C220,1.1627,0.00454
Ndhlovu_et_al_2024,Berg1,Berg1_C2,Ndhlovu_et_al_2024,20,30,Berg1_C230,0.90682,0.01482
Ndhlovu_et_al_2024,Berg1,Berg1_C2,Ndhlovu_et_al_2024,30,50,Berg1_C250,0.741,0.0133
Ndhlovu_et_al_2024,Berg1,Berg1_C3,Ndhlovu_et_al_2024,0,5,Berg1_C35,1.28525,0.00184
Ndhlovu_et_al_2024,Berg1,Berg1_C3,Ndhlovu_et_al_2024,5,10,Berg1_C310,1.34057,0.00424
Ndhlovu_et_al_2024,Berg1,Berg1_C3,Ndhlovu_et_al_2024,10,20,Berg1_C320,1.47174,8.5e-4
Ndhlovu_et_al_2024,Berg1,Berg1_C3,Ndhlovu_et_al_2024,20,30,Berg1_C330,1.06162,0.00872
Ndhlovu_et_al_2024,Berg1,Berg1_C3,Ndhlovu_et_al_2024,30,50,Berg1_C350,0.79994,0.01183
Ndhlovu_et_al_2024,Berg1,Berg1_C4,Ndhlovu_et_al_2024,0,5,Berg1_C45,1.0739,0.00225
Ndhlovu_et_al_2024,Berg1,Berg1_C4,Ndhlovu_et_al_2024,5,10,Berg1_C410,1.36247,5.3e-4
Ndhlovu_et_al_2024,Berg1,Berg1_C4,Ndhlovu_et_al_2024,10,20,Berg1_C420,1.40816,0.00217
Ndhlovu_et_al_2024,Berg1,Berg1_C4,Ndhlovu_et_al_2024,20,30,Berg1_C430,1.34604,1e-4
Ndhlovu_et_al_2024,Berg1,Berg1_C4,Ndhlovu_et_al_2024,30,50,Berg1_C450,1.20636,0.00509
Ndhlovu_et_al_2024,Berg2,Berg2_C1,Ndhlovu_et_al_2024,0,5,Berg2_C15,1.0924,0.00234
Ndhlovu_et_al_2024,Berg2,Berg2_C1,Ndhlovu_et_al_2024,5,10,Berg2_C110,1.2451,3e-5
Ndhlovu_et_al_2024,Berg2,Berg2_C1,Ndhlovu_et_al_2024,10,20,Berg2_C120,1.28512,7.4e-4
Ndhlovu_et_al_2024,Berg2,Berg2_C1,Ndhlovu_et_al_2024,20,30,Berg2_C130,1.31188,0.00138
Ndhlovu_et_al_2024,Berg2,Berg2_C1,Ndhlovu_et_al_2024,30,50,Berg2_C150,1.30858,0.00202
Ndhlovu_et_al_2024,Berg2,Berg2_C2,Ndhlovu_et_al_2024,0,5,Berg2_C25,1.80817,9.5e-4
Ndhlovu_et_al_2024,Berg2,Berg2_C2,Ndhlovu_et_al_2024,5,10,Berg2_C210,1.9218,8.3e-4
Ndhlovu_et_al_2024,Berg2,Berg2_C2,Ndhlovu_et_al_2024,10,20,Berg2_C220,1.42038,0.00192
Ndhlovu_et_al_2024,Berg2,Berg2_C2,Ndhlovu_et_al_2024,20,30,Berg2_C230,1.30294,6.1e-4
Ndhlovu_et_al_2024,Berg2,Berg2_C2,Ndhlovu_et_al_2024,30,50,Berg2_C250,1.26856,0.00222
Ndhlovu_et_al_2024,Berg2,Berg2_C3,Ndhlovu_et_al_2024,0,5,Berg2_C35,1.83173,0.00155
Ndhlovu_et_al_2024,Berg2,Berg2_C3,Ndhlovu_et_al_2024,5,10,Berg2_C310,1.92015,4.7e-4
Ndhlovu_et_al_2024,Berg2,Berg2_C3,Ndhlovu_et_al_2024,10,20,Berg2_C320,1.35172,6.8e-4
Ndhlovu_et_al_2024,Berg2,Berg2_C3,Ndhlovu_et_al_2024,20,30,Berg2_C330,1.3361,5.5e-4
Ndhlovu_et_al_2024,Berg2,Berg2_C3,Ndhlovu_et_al_2024,30,50,Berg2_C350,1.36132,1.1e-4
Ndhlovu_et_al_2024,Berg2,Berg2_C4,Ndhlovu_et_al_2024,0,5,Berg2_C45,1.10343,3.5e-4
Ndhlovu_et_al_2024,Berg2,Berg2_C4,Ndhlovu_et_al_2024,5,10,Berg2_C410,1.2454,8.9e-4
Ndhlovu_et_al_2024,Berg2,Berg2_C4,Ndhlovu_et_al_2024,10,20,Berg2_C420,1.2553,8.1e-4
Ndhlovu_et_al_2024,Berg2,Berg2_C4,Ndhlovu_et_al_2024,20,30,Berg2_C430,1.32318,8.8e-4
Ndhlovu_et_al_2024,Berg2,Berg2_C4,Ndhlovu_et_al_2024,30,50,Berg2_C450,1.36486,0.00113
Ndhlovu_et_al_2024,Breede2,Breede2_C1,Ndhlovu_et_al_2024,0,5,Breede2_C15,1.31311,1.7e-4
Ndhlovu_et_al_2024,Breede2,Breede2_C1,Ndhlovu_et_al_2024,5,10,Breede2_C110,1.4084,2.8e-4
Ndhlovu_et_al_2024,Breede2,Breede2_C1,Ndhlovu_et_al_2024,10,20,Breede2_C120,1.38198,0.00514
Ndhlovu_et_al_2024,Breede2,Breede2_C1,Ndhlovu_et_al_2024,20,30,Breede2_C130,1.3641,0.0033
Ndhlovu_et_al_2024,Breede2,Breede2_C1,Ndhlovu_et_al_2024,30,50,Breede2_C150,1.37574,0.0023
Ndhlovu_et_al_2024,Breede2,Breede2_C2,Ndhlovu_et_al_2024,0,5,Breede2_C25,1.23025,0.0034
Ndhlovu_et_al_2024,Breede2,Breede2_C2,Ndhlovu_et_al_2024,5,10,Breede2_C210,1.2919,0.00371
Ndhlovu_et_al_2024,Breede2,Breede2_C2,Ndhlovu_et_al_2024,10,20,Breede2_C220,1.31814,0.00385
Ndhlovu_et_al_2024,Breede2,Breede2_C2,Ndhlovu_et_al_2024,20,30,Breede2_C230,1.42138,0.00398
Ndhlovu_et_al_2024,Breede2,Breede2_C2,Ndhlovu_et_al_2024,30,50,Breede2_C250,1.42866,0.00311
Ndhlovu_et_al_2024,Breede2,Breede2_C3,Ndhlovu_et_al_2024,0,5,Breede2_C35,1.1152,0.00198
Ndhlovu_et_al_2024,Breede2,Breede2_C3,Ndhlovu_et_al_2024,5,10,Breede2_C310,1.35293,0.00239
Ndhlovu_et_al_2024,Breede2,Breede2_C3,Ndhlovu_et_al_2024,10,20,Breede2_C320,1.33178,0.00154
Ndhlovu_et_al_2024,Breede2,Breede2_C3,Ndhlovu_et_al_2024,20,30,Breede2_C330,1.43416,0.0018
Ndhlovu_et_al_2024,Breede2,Breede2_C3,Ndhlovu_et_al_2024,30,50,Breede2_C350,1.37176,0.00399
Ndhlovu_et_al_2024,Breede2,Breede2_C4,Ndhlovu_et_al_2024,0,5,Breede2_C45,1.06807,0.00437
Ndhlovu_et_al_2024,Breede2,Breede2_C4,Ndhlovu_et_al_2024,5,10,Breede2_C410,1.3355,0.00607
Ndhlovu_et_al_2024,Breede2,Breede2_C4,Ndhlovu_et_al_2024,10,20,Breede2_C420,1.39808,0.00253
Ndhlovu_et_al_2024,Breede2,Breede2_C4,Ndhlovu_et_al_2024,20,30,Breede2_C430,1.51874,0.00253
Ndhlovu_et_al_2024,Breede2,Breede2_C4,Ndhlovu_et_al_2024,30,50,Breede2_C450,1.39582,0.00159
Ndhlovu_et_al_2024,Knysna1,Knysna1_C1,Ndhlovu_et_al_2024,0,5,Knysna1_C15,1.209,0.0064
Ndhlovu_et_al_2024,Knysna1,Knysna1_C1,Ndhlovu_et_al_2024,5,10,Knysna1_C110,1.27073,0.0056
Ndhlovu_et_al_2024,Knysna1,Knysna1_C1,Ndhlovu_et_al_2024,10,20,Knysna1_C120,1.4066,0.00608
Ndhlovu_et_al_2024,Knysna1,Knysna1_C1,Ndhlovu_et_al_2024,20,30,Knysna1_C130,1.49114,0.0031
Ndhlovu_et_al_2024,Knysna1,Knysna1_C1,Ndhlovu_et_al_2024,30,50,Knysna1_C150,1.55306,0.01078
Ndhlovu_et_al_2024,Knysna1,Knysna1_C2,Ndhlovu_et_al_2024,0,5,Knysna1_C25,1.0996,0.00691
Ndhlovu_et_al_2024,Knysna1,Knysna1_C2,Ndhlovu_et_al_2024,5,10,Knysna1_C210,1.30817,0.00448
Ndhlovu_et_al_2024,Knysna1,Knysna1_C2,Ndhlovu_et_al_2024,10,20,Knysna1_C220,1.41696,0.00214
Ndhlovu_et_al_2024,Knysna1,Knysna1_C2,Ndhlovu_et_al_2024,20,30,Knysna1_C230,1.53132,6e-4
Ndhlovu_et_al_2024,Knysna1,Knysna1_C2,Ndhlovu_et_al_2024,30,50,Knysna1_C250,1.42908,0.00912
Ndhlovu_et_al_2024,Knysna1,Knysna1_C3,Ndhlovu_et_al_2024,0,5,Knysna1_C35,1.21393,0.00809
Ndhlovu_et_al_2024,Knysna1,Knysna1_C3,Ndhlovu_et_al_2024,5,10,Knysna1_C310,1.2837,0.00466
Ndhlovu_et_al_2024,Knysna1,Knysna1_C3,Ndhlovu_et_al_2024,10,20,Knysna1_C320,1.40958,0.00202
Ndhlovu_et_al_2024,Knysna1,Knysna1_C3,Ndhlovu_et_al_2024,20,30,Knysna1_C330,1.44736,0.00284
Ndhlovu_et_al_2024,Knysna1,Knysna1_C3,Ndhlovu_et_al_2024,30,50,Knysna1_C350,1.43374,0.00616
Ndhlovu_et_al_2024,Knysna1,Knysna1_C4,Ndhlovu_et_al_2024,0,5,Knysna1_C45,1.43775,6.8e-4
Ndhlovu_et_al_2024,Knysna1,Knysna1_C4,Ndhlovu_et_al_2024,5,10,Knysna1_C410,1.3989,0.00241
Ndhlovu_et_al_2024,Knysna1,Knysna1_C4,Ndhlovu_et_al_2024,10,20,Knysna1_C420,1.40886,0.00172
Ndhlovu_et_al_2024,Knysna1,Knysna1_C4,Ndhlovu_et_al_2024,20,30,Knysna1_C430,1.50298,3.9e-4
Ndhlovu_et_al_2024,Knysna1,Knysna1_C4,Ndhlovu_et_al_2024,30,50,Knysna1_C450,1.54104,0.0074
Ndhlovu_et_al_2024,Knysna2,Knysna2_C1,Ndhlovu_et_al_2024,0,5,Knysna2_C15,1.56315,6.1e-4
Ndhlovu_et_al_2024,Knysna2,Knysna2_C1,Ndhlovu_et_al_2024,5,10,Knysna2_C110,1.40425,0.00234
Ndhlovu_et_al_2024,Knysna2,Knysna2_C1,Ndhlovu_et_al_2024,10,20,Knysna2_C120,1.45067,0.00197
Ndhlovu_et_al_2024,Knysna2,Knysna2_C1,Ndhlovu_et_al_2024,20,30,Knysna2_C130,1.33906,0.00486
Ndhlovu_et_al_2024,Knysna2,Knysna2_C1,Ndhlovu_et_al_2024,30,50,Knysna2_C150,1.36074,0.0016
Ndhlovu_et_al_2024,Knysna2,Knysna2_C2,Ndhlovu_et_al_2024,0,5,Knysna2_C25,1.37845,0.00202
Ndhlovu_et_al_2024,Knysna2,Knysna2_C2,Ndhlovu_et_al_2024,5,10,Knysna2_C210,1.5054,0.00117
Ndhlovu_et_al_2024,Knysna2,Knysna2_C2,Ndhlovu_et_al_2024,10,20,Knysna2_C220,1.4718,0.00181
Ndhlovu_et_al_2024,Knysna2,Knysna2_C2,Ndhlovu_et_al_2024,20,30,Knysna2_C230,1.39236,0.00351
Ndhlovu_et_al_2024,Knysna2,Knysna2_C2,Ndhlovu_et_al_2024,30,50,Knysna2_C250,1.40734,0.00652
Ndhlovu_et_al_2024,Knysna2,Knysna2_C3,Ndhlovu_et_al_2024,0,5,Knysna2_C35,1.44065,0.00247
Ndhlovu_et_al_2024,Knysna2,Knysna2_C3,Ndhlovu_et_al_2024,5,10,Knysna2_C310,1.5003,0.00273
Ndhlovu_et_al_2024,Knysna2,Knysna2_C3,Ndhlovu_et_al_2024,10,20,Knysna2_C320,1.4206,0.00205
Ndhlovu_et_al_2024,Knysna2,Knysna2_C3,Ndhlovu_et_al_2024,20,30,Knysna2_C330,1.39068,0.00464
Ndhlovu_et_al_2024,Knysna2,Knysna2_C3,Ndhlovu_et_al_2024,30,50,Knysna2_C350,1.37894,0.00348
Ndhlovu_et_al_2024,Knysna2,Knysna2_C4,Ndhlovu_et_al_2024,0,5,Knysna2_C45,1.5335,0.00136
Ndhlovu_et_al_2024,Knysna2,Knysna2_C4,Ndhlovu_et_al_2024,5,10,Knysna2_C410,1.4524,0.00812
Ndhlovu_et_al_2024,Knysna2,Knysna2_C4,Ndhlovu_et_al_2024,10,20,Knysna2_C420,1.49632,0.00401
Ndhlovu_et_al_2024,Knysna2,Knysna2_C4,Ndhlovu_et_al_2024,20,30,Knysna2_C430,1.42676,0.00391
Ndhlovu_et_al_2024,Knysna2,Knysna2_C4,Ndhlovu_et_al_2024,30,50,Knysna2_C450,1.464,0.00261
Ndhlovu_et_al_2024,Mngazana1,Mngazana1_C1,Ndhlovu_et_al_2024,0,5,Mngazana1_C15,1.55563,0.01514
Ndhlovu_et_al_2024,Mngazana1,Mngazana1_C1,Ndhlovu_et_al_2024,5,10,Mngazana1_C110,1.62857,0.01226
Ndhlovu_et_al_2024,Mngazana1,Mngazana1_C1,Ndhlovu_et_al_2024,10,20,Mngazana1_C120,1.13762,0.01492
Ndhlovu_et_al_2024,Mngazana1,Mngazana1_C1,Ndhlovu_et_al_2024,20,30,Mngazana1_C130,1.03607,0.01539
Ndhlovu_et_al_2024,Mngazana1,Mngazana1_C2,Ndhlovu_et_al_2024,0,5,Mngazana1_C25,1.18973,0.00853
Ndhlovu_et_al_2024,Mngazana1,Mngazana1_C2,Ndhlovu_et_al_2024,5,10,Mngazana1_C210,1.38606,0.00639
Ndhlovu_et_al_2024,Mngazana1,Mngazana1_C2,Ndhlovu_et_al_2024,10,20,Mngazana1_C220,1.25422,0.01645
Ndhlovu_et_al_2024,Mngazana1,Mngazana1_C2,Ndhlovu_et_al_2024,20,30,Mngazana1_C230,1.59456,0.01453
Ndhlovu_et_al_2024,Mngazana1,Mngazana1_C3,Ndhlovu_et_al_2024,0,5,Mngazana1_C35,1.60241,0.02097
Ndhlovu_et_al_2024,Mngazana1,Mngazana1_C3,Ndhlovu_et_al_2024,5,10,Mngazana1_C310,1.54528,0.00847
Ndhlovu_et_al_2024,Mngazana1,Mngazana1_C3,Ndhlovu_et_al_2024,10,20,Mngazana1_C320,1.52502,0.01601
Ndhlovu_et_al_2024,Mngazana1,Mngazana1_C3,Ndhlovu_et_al_2024,20,30,Mngazana1_C330,1.53124,0.0152
Ndhlovu_et_al_2024,Mngazana1,Mngazana1_C4,Ndhlovu_et_al_2024,0,5,Mngazana1_C45,1.5342,0.01656
Ndhlovu_et_al_2024,Mngazana1,Mngazana1_C4,Ndhlovu_et_al_2024,5,10,Mngazana1_C410,1.28478,0.00737
Ndhlovu_et_al_2024,Mngazana1,Mngazana1_C4,Ndhlovu_et_al_2024,10,20,Mngazana1_C420,1.6458,0.01265
Ndhlovu_et_al_2024,Mngazana1,Mngazana1_C4,Ndhlovu_et_al_2024,20,30,Mngazana1_C430,1.61056,0.01405
Ndhlovu_et_al_2024,Mngazana1,Mngazana1_C4,Ndhlovu_et_al_2024,30,50,Mngazana1_C450,1.54818,0.01491
