study_id,site_id,plot_id,core_id,year,month,day,longitude,latitude,position_method,vegetation_class,vegetation_method,habitat,inundation_class,inundation_method,core_length_flag
Ndhlovu_et_al_2024,Berg,1,Berg1_C1,2021,06,18,18.1964843,-32.8131437,handheld,seagrass,field observation,seagrass,high,field observation,core depth limited by length of corer
Ndhlovu_et_al_2024,Berg,1,Berg1_C2,2021,06,18,18.1964843,-32.8131437,handheld,seagrass,field observation,seagrass,high,field observation,core depth limited by length of corer
Ndhlovu_et_al_2024,Berg,1,Berg1_C3,2021,06,18,18.1964843,-32.8131437,handheld,seagrass,field observation,seagrass,high,field observation,core depth limited by length of corer
Ndhlovu_et_al_2024,Berg,1,Berg1_C4,2021,06,18,18.1964843,-32.8131437,handheld,seagrass,field observation,seagrass,high,field observation,core depth limited by length of corer
Ndhlovu_et_al_2024,Berg,2,Berg2_C1,2021,06,18,18.1418914,-32.7721609,handheld,seagrass,field observation,seagrass,high,field observation,core depth limited by length of corer
Ndhlovu_et_al_2024,Berg,2,Berg2_C2,2021,06,18,18.1418914,-32.7721609,handheld,seagrass,field observation,seagrass,high,field observation,core depth limited by length of corer
Ndhlovu_et_al_2024,Berg,2,Berg2_C3,2021,06,18,18.1418914,-32.7721609,handheld,seagrass,field observation,seagrass,high,field observation,core depth limited by length of corer
Ndhlovu_et_al_2024,Berg,2,Berg2_C4,2021,06,18,18.1418914,-32.7721609,handheld,seagrass,field observation,seagrass,high,field observation,core depth limited by length of corer
Ndhlovu_et_al_2024,Breede,2,Breede2_C1,2021,06,25,20.84452189,-34.39693214,handheld,seagrass,field observation,seagrass,high,field observation,core depth limited by length of corer
Ndhlovu_et_al_2024,Breede,2,Breede2_C2,2021,06,25,20.84452189,-34.39693214,handheld,seagrass,field observation,seagrass,high,field observation,core depth limited by length of corer
Ndhlovu_et_al_2024,Breede,2,Breede2_C3,2021,06,25,20.84452189,-34.39693214,handheld,seagrass,field observation,seagrass,high,field observation,core depth limited by length of corer
Ndhlovu_et_al_2024,Breede,2,Breede2_C4,2021,06,25,20.84452189,-34.39693214,handheld,seagrass,field observation,seagrass,high,field observation,core depth limited by length of corer
Ndhlovu_et_al_2024,Knysna,1,Knysna1_C1,2021,05,30,23.0510531,-34.0587139,handheld,seagrass,field observation,seagrass,high,field observation,core depth limited by length of corer
Ndhlovu_et_al_2024,Knysna,1,Knysna1_C2,2021,05,30,23.0510531,-34.0587139,handheld,seagrass,field observation,seagrass,high,field observation,core depth limited by length of corer
Ndhlovu_et_al_2024,Knysna,1,Knysna1_C3,2021,05,30,23.0510531,-34.0587139,handheld,seagrass,field observation,seagrass,high,field observation,core depth limited by length of corer
Ndhlovu_et_al_2024,Knysna,1,Knysna1_C4,2021,05,30,23.0510531,-34.0587139,handheld,seagrass,field observation,seagrass,high,field observation,core depth limited by length of corer
Ndhlovu_et_al_2024,Knysna,2,Knysna2_C1,2021,05,30,22.9921599,-34.03369279,handheld,seagrass,field observation,seagrass,high,field observation,core depth limited by length of corer
Ndhlovu_et_al_2024,Knysna,2,Knysna2_C2,2021,05,30,22.9921599,-34.03369279,handheld,seagrass,field observation,seagrass,high,field observation,core depth limited by length of corer
Ndhlovu_et_al_2024,Knysna,2,Knysna2_C3,2021,05,30,22.9921599,-34.03369279,handheld,seagrass,field observation,seagrass,high,field observation,core depth limited by length of corer
Ndhlovu_et_al_2024,Knysna,2,Knysna2_C4,2021,05,30,22.9921599,-34.03369279,handheld,seagrass,field observation,seagrass,high,field observation,core depth limited by length of corer
Ndhlovu_et_al_2024,Mngazana,1,Mngazana1_C1,2021,10,11,29.42223,-31.69004,handheld,seagrass,field observation,seagrass,high,field observation,core depth limited by length of corer
Ndhlovu_et_al_2024,Mngazana,1,Mngazana1_C2,2021,10,11,29.42223,-31.69004,handheld,seagrass,field observation,seagrass,high,field observation,core depth limited by length of corer
Ndhlovu_et_al_2024,Mngazana,1,Mngazana1_C3,2021,10,11,29.42223,-31.69004,handheld,seagrass,field observation,seagrass,high,field observation,core depth limited by length of corer
Ndhlovu_et_al_2024,Mngazana,1,Mngazana1_C4,2021,10,11,29.42223,-31.69004,handheld,seagrass,field observation,seagrass,high,field observation,core depth limited by length of corer
Ndhlovu_et_al_2024,Mngazana,1,Mngazana1_C5,2021,10,11,29.42223,-31.69004,handheld,seagrass,field observation,seagrass,high,field observation,core depth limited by length of corer
Ndhlovu_et_al_2024,Mngazana,1,Mngazana1_C6,2021,10,11,29.42223,-31.69004,handheld,seagrass,field observation,seagrass,high,field observation,core depth limited by length of corer
Ndhlovu_et_al_2024,Mngazana,2,Mngazana2_C1,2021,10,11,29.41852932,-31.68501113,handheld,seagrass,field observation,seagrass,high,field observation,core depth limited by length of corer
Ndhlovu_et_al_2024,Mngazana,2,Mngazana2_C2,2021,10,11,29.41852932,-31.68501113,handheld,seagrass,field observation,seagrass,high,field observation,core depth limited by length of corer
Ndhlovu_et_al_2024,Mngazana,2,Mngazana2_C3,2021,10,11,29.41852932,-31.68501113,handheld,seagrass,field observation,seagrass,high,field observation,core depth limited by length of corer
Ndhlovu_et_al_2024,Mngazana,2,Mngazana2_C4,2021,10,11,29.41852932,-31.68501113,handheld,seagrass,field observation,seagrass,high,field observation,core depth limited by length of corer
Ndhlovu_et_al_2024,Mngazana,2,Mngazana2_C5,2021,10,11,29.41852932,-31.68501113,handheld,seagrass,field observation,seagrass,high,field observation,core depth limited by length of corer
Ndhlovu_et_al_2024,Olifants,1,Olifants1_C1,2021,07,05,18.18641168,-31.66462114,handheld,seagrass,field observation,seagrass,high,field observation,core depth limited by length of corer
Ndhlovu_et_al_2024,Olifants,1,Olifants1_C2,2021,07,05,18.18641168,-31.66462114,handheld,seagrass,field observation,seagrass,high,field observation,core depth limited by length of corer
Ndhlovu_et_al_2024,Olifants,1,Olifants1_C3,2021,07,05,18.18641168,-31.66462114,handheld,seagrass,field observation,seagrass,high,field observation,core depth limited by length of corer
Ndhlovu_et_al_2024,Olifants,1,Olifants1_C4,2021,07,05,18.18641168,-31.66462114,handheld,seagrass,field observation,seagrass,high,field observation,core depth limited by length of corer
Ndhlovu_et_al_2024,Olifants,2,Olifants2_C1,2021,07,05,18.188817,-31.693024,handheld,seagrass,field observation,seagrass,high,field observation,core depth limited by length of corer
Ndhlovu_et_al_2024,Olifants,2,Olifants2_C2,2021,07,05,18.188817,-31.693024,handheld,seagrass,field observation,seagrass,high,field observation,core depth limited by length of corer
Ndhlovu_et_al_2024,Olifants,2,Olifants2_C3,2021,07,05,18.188817,-31.693024,handheld,seagrass,field observation,seagrass,high,field observation,core depth limited by length of corer
Ndhlovu_et_al_2024,Olifants,2,Olifants2_C4,2021,07,05,18.188817,-31.693024,handheld,seagrass,field observation,seagrass,high,field observation,core depth limited by length of corer
Ndhlovu_et_al_2024,Swartkops,1,Swartkops1_C1,2021,05,25,25.6213933,-33.8611435,handheld,seagrass,field observation,seagrass,high,field observation,core depth limited by length of corer
Ndhlovu_et_al_2024,Swartkops,1,Swartkops1_C2,2021,05,25,25.6213933,-33.8611435,handheld,seagrass,field observation,seagrass,high,field observation,core depth limited by length of corer
Ndhlovu_et_al_2024,Swartkops,1,Swartkops1_C3,2021,05,25,25.6213933,-33.8611435,handheld,seagrass,field observation,seagrass,high,field observation,core depth limited by length of corer
Ndhlovu_et_al_2024,Swartkops,1,Swartkops1_C4,2021,05,25,25.6213933,-33.8611435,handheld,seagrass,field observation,seagrass,high,field observation,core depth limited by length of corer
Ndhlovu_et_al_2024,Swartkops,2,Swartkops2_C1,2021,05,25,25.59069306,-33.8378418,handheld,seagrass,field observation,seagrass,high,field observation,core depth limited by length of corer
Ndhlovu_et_al_2024,Swartkops,2,Swartkops2_C2,2021,05,25,25.59069306,-33.8378418,handheld,seagrass,field observation,seagrass,high,field observation,core depth limited by length of corer
Ndhlovu_et_al_2024,Swartkops,2,Swartkops2_C3,2021,05,25,25.59069306,-33.8378418,handheld,seagrass,field observation,seagrass,high,field observation,core depth limited by length of corer
Ndhlovu_et_al_2024,Swartkops,2,Swartkops2_C4,2021,05,25,25.59069306,-33.8378418,handheld,seagrass,field observation,seagrass,high,field observation,core depth limited by length of corer
