"study_id","site_id","core_id","year","month","day","latitude","longitude","position_method","position_notes","habitat","vegetation_class","vegetation_method","salinity_class","salinity_method"
"Romero_et_al_2025","R1","R1-1",2016,2,9,8.155683517456055,-81.80876922607422,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","R1","R1-2",2016,2,9,8.155683517456055,-81.80876922607422,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","R1","R1-3",2016,2,9,8.155683517456055,-81.80876922607422,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","R1","R1-4",2016,2,9,8.155683517456055,-81.80876922607422,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","R2","R2-1",2016,8,17,8.172383308410645,-81.78861999511719,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","R2","R2-2",2016,8,17,8.172383308410645,-81.78861999511719,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","R2","R2-3",2016,8,17,8.172383308410645,-81.78861999511719,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","R2","R2-4",2016,8,17,8.172383308410645,-81.78861999511719,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","R2","R2-5",2016,8,17,8.172383308410645,-81.78861999511719,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","R2","R2-6",2016,8,17,8.172383308410645,-81.78861999511719,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","R3","R3-1",2016,8,18,8.199666976928711,-81.77086639404297,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","R3","R3-2",2016,8,18,8.199666976928711,-81.77086639404297,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","R3","R3-3",2016,8,18,8.199666976928711,-81.77086639404297,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","R3","R3-4",2016,8,18,8.199666976928711,-81.77086639404297,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","R3","R3-5",2016,8,18,8.199666976928711,-81.77086639404297,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","R3","R3-6",2016,8,18,8.199666976928711,-81.77086639404297,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","R4","R4-1",2016,8,31,8.208783149719238,-81.79862976074219,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","R4","R4-2",2016,8,31,8.208783149719238,-81.79862976074219,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","R4","R4-3",2016,8,31,8.208783149719238,-81.79862976074219,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","R4","R4-4",2016,8,31,8.208783149719238,-81.79862976074219,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","R5","R5-1",2016,8,31,8.210183143615723,-81.78974914550781,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","R5","R5-2",2016,8,31,8.210183143615723,-81.78974914550781,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","R5","R5-3",2016,8,31,8.210183143615723,-81.78974914550781,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","R5","R5-4",2016,8,31,8.210183143615723,-81.78974914550781,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","R5","R5-5",2016,8,31,8.210183143615723,-81.78974914550781,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","R5","R5-6",2016,1,9,8.210183143615723,-81.78974914550781,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SF1","SF1-1A",2016,9,17,8.195116996765137,-81.93054962158203,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SF1","SF1-1B",2016,9,17,8.195116996765137,-81.93054962158203,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SF1","SF1-1C",2016,9,17,8.195116996765137,-81.93054962158203,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SF1","SF1-2",2016,9,17,8.195116996765137,-81.93054962158203,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SF1","SF1-3A",2016,9,17,8.195116996765137,-81.93054962158203,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SF1","SF1-3B",2016,9,17,8.195116996765137,-81.93054962158203,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SF1","SF1-3C",2016,9,17,8.195116996765137,-81.93054962158203,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SF1","SF1-4",2016,9,17,8.195116996765137,-81.93054962158203,"other low resolution","site-level coordinates","mangrove","forested","measurement","mesohaline","measurement"
"Romero_et_al_2025","SF1","SF1-5",2016,9,17,8.195116996765137,-81.93054962158203,"other low resolution","site-level coordinates","mangrove","forested","measurement","mesohaline","measurement"
"Romero_et_al_2025","SF2","SF2-1",2016,3,9,8.24530029296875,-81.92131805419922,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SF2","SF2-2",2016,3,9,8.24530029296875,-81.92131805419922,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SF2","SF2-3",2016,3,9,8.24530029296875,-81.92131805419922,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SF2","SF2-4",2016,3,9,8.24530029296875,-81.92131805419922,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SF2","SF2-5",2016,3,9,8.24530029296875,-81.92131805419922,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SF2","SF2-6",2016,3,9,8.24530029296875,-81.92131805419922,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SF3","SF3-1",2016,4,9,8.2626495361328125,-81.94944763183594,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SF3","SF3-2",2016,4,9,8.2626495361328125,-81.94944763183594,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SF3","SF3-3",2016,4,9,8.2626495361328125,-81.94944763183594,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SF3","SF3-4",2016,4,9,8.2626495361328125,-81.94944763183594,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SF3","SF3-5",2016,4,9,8.2626495361328125,-81.94944763183594,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SF3","SF3-6",2016,4,9,8.2626495361328125,-81.94944763183594,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SL1","SL1-1",2016,11,14,8.347233772277832,-82.21728515625,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SL1","SL1-2",2016,11,14,8.347233772277832,-82.21728515625,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SL1","SL1-3",2016,11,14,8.347233772277832,-82.21728515625,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SL1","SL1-4",2016,11,14,8.347233772277832,-82.21728515625,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SL1","SL1-5",2016,11,14,8.347233772277832,-82.21728515625,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SL1","SL1-6",2016,11,14,8.347233772277832,-82.21728515625,"other low resolution","site-level coordinates","mangrove","forested","measurement","mesohaline","measurement"
"Romero_et_al_2025","SL10","SL10-1A",2016,9,29,8.235300064086914,-82.0379867553711,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SL10","SL10-1B",2016,9,29,8.235300064086914,-82.0379867553711,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SL10","SL10-1C",2016,9,29,8.235300064086914,-82.0379867553711,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SL10","SL10-2",2016,9,29,8.235300064086914,-82.0379867553711,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SL10","SL10-3A",2016,9,29,8.235300064086914,-82.0379867553711,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SL10","SL10-3B",2016,9,29,8.235300064086914,-82.0379867553711,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SL10","SL10-3C",2016,9,29,8.235300064086914,-82.0379867553711,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SL10","SL10-4",2016,9,29,8.235300064086914,-82.0379867553711,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SL10","SL10-5",2016,9,29,8.235300064086914,-82.0379867553711,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SL10","SL10-6A",2016,9,29,8.235300064086914,-82.0379867553711,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SL10","SL10-6B",2016,9,29,8.235300064086914,-82.0379867553711,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SL10","SL10-6C",2016,9,29,8.235300064086914,-82.0379867553711,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SL11","SL11-1A",2016,9,30,8.253000259399414,-82.023834228515625,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SL11","SL11-1B",2016,9,30,8.253000259399414,-82.023834228515625,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SL11","SL11-1C",2016,9,30,8.253000259399414,-82.023834228515625,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SL11","SL11-2",2016,9,30,8.253000259399414,-82.023834228515625,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SL11","SL11-3A",2016,9,30,8.253000259399414,-82.023834228515625,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SL11","SL11-3B",2016,9,30,8.253000259399414,-82.023834228515625,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SL11","SL11-3C",2016,9,30,8.253000259399414,-82.023834228515625,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SL11","SL11-4",2016,9,30,8.253000259399414,-82.023834228515625,"other low resolution","site-level coordinates","mangrove","forested","measurement","mesohaline","measurement"
"Romero_et_al_2025","SL11","SL11-5",2016,9,30,8.253000259399414,-82.023834228515625,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SL11","SL11-6A",2016,9,30,8.253000259399414,-82.023834228515625,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SL11","SL11-6B",2016,9,30,8.253000259399414,-82.023834228515625,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SL11","SL11-6C",2016,9,30,8.253000259399414,-82.023834228515625,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SL12","SL12-1A",2016,4,10,8.235616683959961,-82.02155303955078,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SL12","SL12-1B",2016,4,10,8.235616683959961,-82.02155303955078,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SL12","SL12-1C",2016,4,10,8.235616683959961,-82.02155303955078,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SL12","SL12-2",2016,4,10,8.235616683959961,-82.02155303955078,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SL12","SL12-3A",2016,4,10,8.235616683959961,-82.02155303955078,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SL12","SL12-3B",2016,4,10,8.235616683959961,-82.02155303955078,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SL12","SL12-3C",2016,4,10,8.235616683959961,-82.02155303955078,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SL12","SL12-4",2016,4,10,8.235616683959961,-82.02155303955078,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SL12","SL12-5",2016,4,10,8.235616683959961,-82.02155303955078,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SL12","SL12-6A",2016,4,10,8.235616683959961,-82.02155303955078,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SL12","SL12-6B",2016,4,10,8.235616683959961,-82.02155303955078,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SL12","SL12-6C",2016,4,10,8.235616683959961,-82.02155303955078,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SL13","SL13-1A",2016,9,15,8.231066703796387,-81.96278381347656,"other low resolution","site-level coordinates","mangrove","forested","measurement","mesohaline","measurement"
"Romero_et_al_2025","SL13","SL13-1B",2016,9,15,8.231066703796387,-81.96278381347656,"other low resolution","site-level coordinates","mangrove","forested","measurement","mesohaline","measurement"
"Romero_et_al_2025","SL13","SL13-1C",2016,9,15,8.231066703796387,-81.96278381347656,"other low resolution","site-level coordinates","mangrove","forested","measurement","mesohaline","measurement"
"Romero_et_al_2025","SL13","SL13-2",2016,9,15,8.231066703796387,-81.96278381347656,"other low resolution","site-level coordinates","mangrove","forested","measurement","mesohaline","measurement"
"Romero_et_al_2025","SL13","SL13-3A",2016,9,15,8.231066703796387,-81.96278381347656,"other low resolution","site-level coordinates","mangrove","forested","measurement","mesohaline","measurement"
"Romero_et_al_2025","SL13","SL13-3B",2016,9,15,8.231066703796387,-81.96278381347656,"other low resolution","site-level coordinates","mangrove","forested","measurement","mesohaline","measurement"
"Romero_et_al_2025","SL13","SL13-3C",2016,9,15,8.231066703796387,-81.96278381347656,"other low resolution","site-level coordinates","mangrove","forested","measurement","mesohaline","measurement"
"Romero_et_al_2025","SL13","SL13-4",2016,9,15,8.231066703796387,-81.96278381347656,"other low resolution","site-level coordinates","mangrove","forested","measurement","mesohaline","measurement"
"Romero_et_al_2025","SL13","SL13-5",2016,9,15,8.231066703796387,-81.96278381347656,"other low resolution","site-level coordinates","mangrove","forested","measurement","mesohaline","measurement"
"Romero_et_al_2025","SL13","SL13-6A",2016,9,15,8.231066703796387,-81.96278381347656,"other low resolution","site-level coordinates","mangrove","forested","measurement","mesohaline","measurement"
"Romero_et_al_2025","SL13","SL13-6B",2016,9,15,8.231066703796387,-81.96278381347656,"other low resolution","site-level coordinates","mangrove","forested","measurement","mesohaline","measurement"
"Romero_et_al_2025","SL13","SL13-6C",2016,9,15,8.231066703796387,-81.96278381347656,"other low resolution","site-level coordinates","mangrove","forested","measurement","mesohaline","measurement"
"Romero_et_al_2025","SL14","SL14-1A",2016,9,16,8.222233772277832,-81.977447509765625,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SL14","SL14-1B",2016,9,16,8.222233772277832,-81.977447509765625,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SL14","SL14-1C",2016,9,16,8.222233772277832,-81.977447509765625,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SL14","SL14-2",2016,9,16,8.222233772277832,-81.977447509765625,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SL14","SL14-3A",2016,9,16,8.222233772277832,-81.977447509765625,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SL14","SL14-3B",2016,9,16,8.222233772277832,-81.977447509765625,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SL14","SL14-3C",2016,9,16,8.222233772277832,-81.977447509765625,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SL14","SL14-4",2016,9,16,8.222233772277832,-81.977447509765625,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SL14","SL14-5",2016,9,16,8.222233772277832,-81.977447509765625,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SL2","SL2-1",2016,1,10,8.334600448608398,-82.1578369140625,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SL2","SL2-2",2016,1,10,8.334600448608398,-82.1578369140625,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SL2","SL2-3",2016,1,10,8.334600448608398,-82.1578369140625,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SL2","SL2-4",2016,1,10,8.334600448608398,-82.1578369140625,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SL3","SL3-1A",2016,9,19,8.325532913208008,-82.162353515625,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SL3","SL3-1B",2016,9,19,8.325532913208008,-82.162353515625,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SL3","SL3-1C",2016,9,19,8.325532913208008,-82.162353515625,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SL3","SL3-2",2016,9,19,8.325532913208008,-82.162353515625,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SL3","SL3-3A",2016,9,19,8.325532913208008,-82.162353515625,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SL3","SL3-3B",2016,9,19,8.325532913208008,-82.162353515625,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SL3","SL3-3C",2016,9,19,8.325532913208008,-82.162353515625,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SL3","SL3-4",2016,9,19,8.325532913208008,-82.162353515625,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SL3","SL3-5",2016,9,19,8.325532913208008,-82.162353515625,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SL3","SL3-6A",2016,9,19,8.325532913208008,-82.162353515625,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SL3","SL3-6B",2016,9,19,8.325532913208008,-82.162353515625,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SL3","SL3-6C",2016,9,19,8.325532913208008,-82.162353515625,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SL4","SL4-1",2016,2,10,8.340749740600586,-82.20320129394531,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SL4","SL4-2",2016,2,10,8.340749740600586,-82.20320129394531,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SL4","SL4-3",2016,2,10,8.340749740600586,-82.20320129394531,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SL4","SL4-4",2016,2,10,8.340749740600586,-82.20320129394531,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SL4","SL4-5",2016,2,10,8.340749740600586,-82.20320129394531,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SL4","SL4-6",2016,2,10,8.340749740600586,-82.20320129394531,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SL5","SL5-1",2016,11,15,8.330050468444824,-82.20269775390625,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SL5","SL5-2",2016,11,15,8.330050468444824,-82.20269775390625,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SL5","SL5-3",2016,11,15,8.330050468444824,-82.20269775390625,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SL5","SL5-4",2016,11,15,8.330050468444824,-82.20269775390625,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SL5","SL5-5",2016,11,15,8.330050468444824,-82.20269775390625,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SL5","SL5-6",2016,11,15,8.330050468444824,-82.20269775390625,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SL6","SL6-1",2016,11,30,8.317983627319336,-82.18965148925781,"other low resolution","site-level coordinates","mangrove","forested","measurement","mesohaline","measurement"
"Romero_et_al_2025","SL6","SL6-2",2016,11,30,8.317983627319336,-82.18965148925781,"other low resolution","site-level coordinates","mangrove","forested","measurement","mesohaline","measurement"
"Romero_et_al_2025","SL6","SL6-3",2016,11,30,8.317983627319336,-82.18965148925781,"other low resolution","site-level coordinates","mangrove","forested","measurement","mesohaline","measurement"
"Romero_et_al_2025","SL6","SL6-4",2016,11,30,8.317983627319336,-82.18965148925781,"other low resolution","site-level coordinates","mangrove","forested","measurement","mesohaline","measurement"
"Romero_et_al_2025","SL6","SL6-5",2016,11,30,8.317983627319336,-82.18965148925781,"other low resolution","site-level coordinates","mangrove","forested","measurement","mesohaline","measurement"
"Romero_et_al_2025","SL6","SL6-6",2016,11,30,8.317983627319336,-82.18965148925781,"other low resolution","site-level coordinates","mangrove","forested","measurement","mesohaline","measurement"
"Romero_et_al_2025","SL7","SL7-1",2016,2,12,8.280200004577637,-82.22211456298828,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SL7","SL7-2",2016,2,12,8.280200004577637,-82.22211456298828,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SL7","SL7-3",2016,2,12,8.280200004577637,-82.22211456298828,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SL7","SL7-4",2016,2,12,8.280200004577637,-82.22211456298828,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SL7","SL7-5",2016,2,12,8.280200004577637,-82.22211456298828,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SL7","SL7-6",2016,2,12,8.280200004577637,-82.22211456298828,"other low resolution","site-level coordinates","mangrove","forested","measurement","mesohaline","measurement"
"Romero_et_al_2025","SL8","SL8-1",2016,1,12,8.287166595458984,-82.21219635009766,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SL8","SL8-2",2016,1,12,8.287166595458984,-82.21219635009766,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SL8","SL8-3",2016,1,12,8.287166595458984,-82.21219635009766,"other low resolution","site-level coordinates","mangrove","forested","measurement","mesohaline","measurement"
"Romero_et_al_2025","SL8","SL8-4",2016,1,12,8.287166595458984,-82.21219635009766,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SL8","SL8-5",2016,1,12,8.287166595458984,-82.21219635009766,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SL9","SL9-1",2016,3,12,8.248133659362793,-82.2179183959961,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SL9","SL9-2",2016,3,12,8.248133659362793,-82.2179183959961,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SL9","SL9-3",2016,3,12,8.248133659362793,-82.2179183959961,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SL9","SL9-4",2016,3,12,8.248133659362793,-82.2179183959961,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SL9","SL9-5",2016,3,12,8.248133659362793,-82.2179183959961,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SL9","SL9-6",2016,3,12,8.248133659362793,-82.2179183959961,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
